Numero nacional;Pokemon;Seccion;Modo;Tablero;Zona;Metodo;Flechas;Porcentaje referencia;Detalle
063;Abra;Normal;Gen 3;Zafiro;Cave;Caza;3;16,39%;
063;Abra;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
063;Abra;Normal;RANDOM;Ruby;City;Candidato a caza;;;2 flechas
063;Abra;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
064;Kadabra;Normal;;;;Evolucion;;;Evolucion de Abra
065;Alakazam;Normal;;;;Evolucion;;;Evolucion de Kadabra
066;Machop;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
066;Machop;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
066;Machop;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
066;Machop;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
066;Machop;Normal;Gen 3;Ruby;Cave;Caza;2;16,39%;
066;Machop;Normal;Gen 3;Ruby;Cave;Caza;3;19,61%;
066;Machop;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
066;Machop;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
067;Machoke;Normal;;;;Evolucion;;;Evolucion de Machop
068;Machamp;Normal;;;;Evolucion;;;Evolucion de Machoke
069;Bellsprout;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
069;Bellsprout;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
069;Bellsprout;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
069;Bellsprout;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
069;Bellsprout;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
069;Bellsprout;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
070;Weepinbell;Normal;;;;Evolucion;;;Evolucion de Bellsprout
071;Victreebel;Normal;;;;Evolucion;;;Evolucion de Weepinbell
072;Tentacool;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
072;Tentacool;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
072;Tentacool;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
072;Tentacool;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
072;Tentacool;Normal;Gen 3;Ruby;Ocean;Caza;2;19,61%;
072;Tentacool;Normal;Gen 3;Ruby;Ocean;Caza;3;16,39%;
072;Tentacool;Normal;Gen 3;Zafiro;Ocean;Caza;2;19,61%;
072;Tentacool;Normal;Gen 3;Zafiro;Ocean;Caza;3;16,39%;
072;Tentacool;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
072;Tentacool;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
073;Tentacruel;Normal;;;;Evolucion;;;Evolucion de Tentacool
074;Geodude;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
074;Geodude;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
074;Geodude;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
074;Geodude;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
074;Geodude;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
074;Geodude;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
074;Geodude;Normal;Gen 3;Zafiro;Wilderness;Caza;2;19,61%;
074;Geodude;Normal;Gen 3;Zafiro;Wilderness;Caza;3;19,61%;
074;Geodude;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
074;Geodude;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
074;Geodude;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
074;Geodude;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
075;Graveler;Normal;;;;Evolucion;;;Evolucion de Geodude
076;Golem;Normal;;;;Evolucion;;;Evolucion de Graveler
077;Ponyta;Normal;Gen 1;Ruby;Volcano;Caza;2;20%;
077;Ponyta;Normal;Gen 1;Ruby;Volcano;Caza;3;16,67%;
077;Ponyta;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
078;Rapidash;Normal;;;;Evolucion;;;Evolucion de Ponyta
079;Slowpoke;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
079;Slowpoke;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
079;Slowpoke;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
079;Slowpoke;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
079;Slowpoke;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
079;Slowpoke;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
079;Slowpoke;Normal;Gen 2;Zafiro;Lake;Caza;2;14,29%;
079;Slowpoke;Normal;Gen 2;Zafiro;Lake;Caza;3;14,29%;
079;Slowpoke;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
079;Slowpoke;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
079;Slowpoke;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
080;Slowbro;Normal;;;;Evolucion;;;Evolucion de Slowpoke (Ruby)
081;Magnemite;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
081;Magnemite;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
081;Magnemite;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
081;Magnemite;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
081;Magnemite;Normal;Gen 3;Ruby;Plains;Caza;2;16,39%;
081;Magnemite;Normal;Gen 3;Ruby;Plains;Caza;3;19,61%;
081;Magnemite;Normal;Gen 3;Zafiro;Plains;Caza;2;16,39%;
081;Magnemite;Normal;Gen 3;Zafiro;Plains;Caza;3;14,08%;
081;Magnemite;Normal;Gen 3;Ruby;City;Caza;2;14,08%;
081;Magnemite;Normal;Gen 3;Ruby;City;Caza;3;16,13%;
081;Magnemite;Normal;Gen 4;Ruby;Cave;Caza;2;14,08%;
081;Magnemite;Normal;Gen 4;Zafiro;Cave;Caza;2;14,08%;
081;Magnemite;Normal;Gen 4;Ruby;City;Caza;2;12,5%;
081;Magnemite;Normal;Gen 4;Ruby;City;Caza;3;12,5%;
081;Magnemite;Normal;Gen 4;Zafiro;Ice Cave;Caza;2;12,5%;
081;Magnemite;Normal;Gen 4;Zafiro;Ice Cave;Caza;3;12,5%;
081;Magnemite;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2 flechas
081;Magnemite;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
081;Magnemite;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
081;Magnemite;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2 flechas
081;Magnemite;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
081;Magnemite;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
081;Magnemite;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
082;Magneton;Normal;;;;Evolucion;;;Evolucion de Magnemite
083;Farfetchd;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
083;Farfetchd;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
083;Farfetchd;Normal;RANDOM;Ruby;City;Candidato a caza;;;3 flechas
083;Farfetchd;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;3 flechas
084;Doduo;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
084;Doduo;Normal;Gen 3;Ruby;Safari Zone;Caza;2;16,39%;
084;Doduo;Normal;Gen 3;Ruby;Safari Zone;Caza;3;16,39%;
084;Doduo;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
085;Dodrio;Normal;;;;Evolucion;;;Evolucion de Doduo
086;Seel;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
086;Seel;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
086;Seel;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
086;Seel;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
086;Seel;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2 flechas
086;Seel;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
086;Seel;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2 flechas
087;Dewgong;Normal;;;;Evolucion;;;Evolucion de Seel
088;Grimer;Normal;Gen 3;Ruby;Cave;Caza;2;16,39%;
088;Grimer;Normal;Gen 3;Zafiro;Cave;Caza;2;19,61%;
088;Grimer;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2 flechas
088;Grimer;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2 flechas
089;Muk;Normal;;;;Evolucion;;;Evolucion de Grimer
090;Shellder;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
090;Shellder;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
090;Shellder;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
090;Shellder;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
090;Shellder;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2 flechas
090;Shellder;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
090;Shellder;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2 flechas
091;Cloyster;Normal;;;;Evolucion;;;Evolucion de Shellder
092;Gastly;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
092;Gastly;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
092;Gastly;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
092;Gastly;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
092;Gastly;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
092;Gastly;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
093;Haunter;Normal;;;;Evolucion;;;Evolucion de Gastly
094;Gengar;Normal;;;;Evolucion;;;Evolucion de Haunter
095;Onix;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
095;Onix;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
095;Onix;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
095;Onix;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
095;Onix;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2 flechas
095;Onix;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2 flechas
095;Onix;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
096;Drowzee;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
096;Drowzee;Normal;RANDOM;Ruby;City;Candidato a caza;;;2 flechas
097;Hypno;Normal;;;;Evolucion;;;Evolucion de Drowzee
098;Krabby;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
098;Krabby;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
098;Krabby;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
098;Krabby;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
098;Krabby;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
098;Krabby;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
099;Kingler;Normal;;;;Evolucion;;;Evolucion de Krabby
100;Voltorb;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
100;Voltorb;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
100;Voltorb;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
100;Voltorb;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
100;Voltorb;Normal;Gen 3;Ruby;Plains;Caza;2;16,39%;
100;Voltorb;Normal;Gen 3;Ruby;Plains;Caza;3;19,61%;
100;Voltorb;Normal;Gen 3;Zafiro;Plains;Caza;2;16,39%;
